+-------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+
| Class | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf |
+-------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+
|  WRB  |      1.0      |      0.9995     |        0.9929       |        0.994         |     1.0      |     0.1118     |       0.993        |        0.9934       |
| -LRB- |      1.0      |      0.9974     |        0.993        |        0.9918        |     1.0      |     0.1189     |       0.9929       |        0.9934       |
|  PDT  |      1.0      |      0.9873     |        0.9929       |        0.9924        |     1.0      |     0.0747     |       0.9931       |        0.9923       |
|  PRP$ |      1.0      |      0.999      |        0.9931       |        0.992         |     1.0      |     0.2294     |       0.9928       |        0.9937       |
| -RRB- |     0.9921    |      0.9958     |        0.9928       |        0.9879        |    0.9762    |     0.0967     |       0.993        |        0.9909       |
|  POS  |     0.9988    |      0.9839     |        0.9929       |        0.9898        |    0.9867    |     0.1948     |       0.9927       |        0.9928       |
|  VBP  |     0.9924    |      0.9549     |        0.9927       |        0.9867        |    0.9493    |     0.1099     |       0.9928       |        0.9921       |
|   WP  |      1.0      |      0.9978     |        0.9922       |        0.9805        |     1.0      |     0.1521     |       0.9929       |        0.9926       |
|   CD  |     0.9997    |      0.9983     |        0.9926       |        0.9903        |    0.9983    |     0.1662     |       0.9925       |        0.9922       |
|   ``  |      1.0      |      0.999      |        0.9927       |        0.9628        |     1.0      |     0.1578     |       0.9929       |        0.9934       |
|   MD  |     0.9914    |      0.9867     |        0.993        |        0.9875        |    0.8652    |     0.1127     |       0.9929       |        0.9912       |
|  NNS  |     0.9926    |      0.994      |        0.9916       |        0.9824        |    0.9686    |     0.1669     |       0.9929       |        0.991        |
|   EX  |      1.0      |      0.9983     |        0.9914       |        0.9414        |     1.0      |     0.1368     |       0.9929       |        0.9933       |
|   UH  |     0.6667    |      0.8188     |        0.9929       |        0.9926        |    0.3333    |     0.0901     |       0.9926       |        0.9819       |
|   RP  |     0.9769    |      0.9204     |        0.9926       |        0.982         |    0.9398    |     0.2762     |       0.993        |        0.9922       |
|  RBS  |     0.8857    |      0.9192     |        0.9929       |        0.9906        |     0.6      |     0.1759     |       0.9927       |        0.9881       |
|   TO  |     0.9991    |      0.9988     |        0.9924       |        0.9876        |    0.9991    |     0.2826     |       0.9927       |        0.9934       |
|   JJ  |     0.9882    |      0.9895     |        0.9931       |        0.9773        |    0.897     |     0.1204     |       0.9946       |        0.9874       |
|  WDT  |     0.9933    |      0.9909     |        0.9889       |        0.9369        |    0.9888    |     0.2438     |       0.9928       |        0.9929       |
|  PRP  |     0.9977    |      0.9989     |        0.9927       |        0.9894        |    0.9965    |     0.171      |       0.9927       |        0.9921       |
|   :   |     0.9929    |      0.9949     |        0.9928       |        0.978         |    0.9805    |     0.1213     |       0.9931       |        0.9914       |
|  NNPS |     0.9262    |      0.9263     |        0.9932       |        0.9867        |    0.2746    |     0.1554     |       0.9931       |        0.9894       |
|  WP$  |      1.0      |      0.9919     |        0.9914       |        0.9873        |     1.0      |     0.1011     |       0.9928       |        0.9939       |
|  VBG  |     0.9932    |      0.9956     |        0.9928       |        0.9937        |    0.987     |     0.1042     |       0.9932       |        0.9913       |
|   CC  |     0.9991    |      0.9972     |        0.9929       |        0.978         |    0.9991    |     0.2363     |       0.9929       |        0.9922       |
