SST2
Max:
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+
|  Class  | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | Total Masked |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+
| Class 0 |     0.9892    |      0.9961     |        0.9881       |        0.9978        |    0.9843    |     0.7856     |       0.9914       |        0.9921       |     230      |
| Class 1 |     0.9881    |      0.9978     |        0.9892       |        0.9961        |    0.9837    |     0.768      |       0.993        |        0.9895       |     230      |

STD:
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
|  Class  | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | Total Masked | Intersection |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
| Class 0 |     0.9892    |      0.9961     |        0.9881       |        0.9978        |    0.9847    |     0.8714     |       0.9912       |        0.9927       |     230      |     138      |
| Class 1 |     0.9881    |      0.9978     |        0.9892       |        0.9961        |    0.9857    |     0.9036     |       0.9917       |        0.9853       |     230      |     138      |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+

Low_std_max:
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
|  Class  | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | Total Masked | Intersection |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
| Class 0 |     0.9892    |      0.9961     |        0.9881       |        0.9978        |    0.9826    |     0.7322     |       0.9924       |        0.9929       |     230      |     185      |
| Class 1 |     0.9881    |      0.9978     |        0.9892       |        0.9961        |    0.9827    |     0.7606     |       0.9937       |        0.9898       |     230      |     184      |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+


IMDB

Max:

+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+
|  Class  | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | Total Masked |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+
| Class 0 |     0.9638    |      0.968      |        0.9637       |        0.9625        |    0.8673    |     0.6563     |       0.9894       |        0.929        |     230      |
| Class 1 |     0.9637    |      0.9625     |        0.9638       |        0.968         |    0.8474    |     0.6837     |       0.9901       |        0.9355       |     230      |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+


STD:

+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
|  Class  | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | Total Masked | Intersection |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
| Class 0 |     0.9638    |      0.968      |        0.9637       |        0.9625        |    0.9493    |     0.7894     |       0.9751       |        0.8589       |     230      |     101      |
| Class 1 |     0.9637    |      0.9625     |        0.9638       |        0.968         |    0.957     |     0.8049     |       0.9691       |        0.8356       |     230      |     110      |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+

Low_std_max: 

+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
|  Class  | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | Total Masked | Intersection |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
| Class 0 |     0.9638    |      0.968      |        0.9637       |        0.9625        |    0.8122    |     0.6269     |       0.9923       |        0.8968       |     230      |     156      |
| Class 1 |     0.9637    |      0.9625     |        0.9638       |        0.968         |    0.8174    |     0.6579     |       0.991        |        0.8964       |     230      |     164      |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+

AG_news

Max:

+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+
|  Class  | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | Total Masked |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+
| Class 0 |     0.9691    |      0.9833     |        0.9744       |        0.9704        |    0.7147    |     0.3932     |       0.9764       |        0.9607       |     230      |
| Class 1 |     0.9982    |      0.9962     |        0.9647       |        0.9658        |    0.7753    |     0.3582     |       0.9658       |        0.9533       |     230      |
| Class 2 |     0.9445    |      0.9564     |        0.9826       |        0.9791        |    0.4338    |     0.3693     |       0.9914       |        0.972        |     230      |
| Class 3 |     0.9805    |      0.9576     |        0.9706       |        0.979         |    0.4776    |     0.375      |       0.9893       |        0.9629       |     230      |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+

STD:



max_low_std:

+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
|  Class  | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | Total Masked | Intersection |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+
| Class 0 |     0.9691    |      0.9833     |        0.9744       |        0.9704        |    0.8629    |     0.5466     |       0.9773       |        0.9489       |     230      |     160      |
| Class 1 |     0.9982    |      0.9962     |        0.9647       |        0.9658        |    0.6261    |     0.3103     |       0.9665       |        0.9507       |     230      |     186      |
| Class 2 |     0.9445    |      0.9564     |        0.9826       |        0.9791        |    0.5852    |     0.4454     |       0.9914       |        0.9628       |     230      |     164      |
| Class 3 |     0.9805    |      0.9576     |        0.9706       |        0.979         |    0.4569    |     0.3579     |       0.9888       |        0.9587       |     230      |     180      |
+---------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+--------------+

Banking77:
Max and Max_low
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 0  |      1.0      |      0.9967     |        0.9997       |        0.9954        |     1.0      |     0.8512     |       0.9994       |        0.9389       |     1.0      |     0.8512     |       0.9994       |        0.9389       |     230      |  tensor(-115) |
| Class 1  |      1.0      |      0.9966     |        0.9997       |        0.9954        |     1.0      |     0.7464     |       0.9995       |        0.9368       |     1.0      |     0.7464     |       0.9995       |        0.9368       |     230      |      230      |
| Class 2  |      1.0      |      0.997      |        0.9997       |        0.9954        |     1.0      |     0.8011     |       0.9996       |        0.9353       |     1.0      |     0.7992     |       0.9997       |        0.9356       |     230      |  tensor(-115) |
| Class 3  |      1.0      |      0.9941     |        0.9997       |        0.9955        |     1.0      |     0.8699     |       0.9998       |        0.9369       |     1.0      |     0.8699     |       0.9998       |        0.9369       |     230      |      230      |
| Class 4  |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.8233     |       0.9996       |        0.9377       |     1.0      |     0.8233     |       0.9996       |        0.9377       |     230      |  tensor(-115) |
| Class 5  |      1.0      |      0.9947     |        0.9997       |        0.9955        |     1.0      |     0.8041     |       0.9997       |        0.9407       |     1.0      |     0.8041     |       0.9997       |        0.9407       |     230      |      229      |
| Class 6  |     0.9997    |      0.9954     |        0.9997       |        0.9954        |    0.9997    |     0.9308     |       0.9997       |        0.9306       |    0.9995    |     0.9363     |       0.9995       |        0.9359       |     230      |  tensor(-115) |
| Class 7  |      1.0      |      0.9954     |        0.9997       |        0.9954        |     1.0      |     0.8323     |       0.9996       |        0.9366       |     1.0      |     0.8323     |       0.9996       |        0.9366       |     230      |      230      |
| Class 8  |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.829      |       0.9997       |        0.9362       |     1.0      |     0.829      |       0.9997       |        0.9362       |     230      |  tensor(-115) |
| Class 9  |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.8264     |       0.9997       |        0.9348       |     1.0      |     0.8295     |       0.9997       |        0.9351       |     230      |      230      |
| Class 10 |      1.0      |      0.9883     |        0.9997       |        0.9955        |     1.0      |     0.7618     |       0.9997       |        0.9382       |     1.0      |     0.7618     |       0.9997       |        0.9382       |     230      |  tensor(-115) |
| Class 11 |      1.0      |      0.9964     |        0.9997       |        0.9954        |     1.0      |     0.866      |       0.9994       |        0.939        |     1.0      |     0.866      |       0.9994       |        0.939        |     230      |      230      |
| Class 12 |      1.0      |      0.9954     |        0.9997       |        0.9954        |     1.0      |     0.7901     |       0.9997       |        0.9359       |     1.0      |     0.7901     |       0.9997       |        0.9359       |     230      |  tensor(-115) |
| Class 13 |      1.0      |      0.9961     |        0.9997       |        0.9954        |     1.0      |     0.8687     |       0.9997       |        0.9391       |     1.0      |     0.8684     |       0.9997       |        0.9392       |     230      |       13      |
| Class 14 |      1.0      |      0.9955     |        0.9997       |        0.9954        |     1.0      |     0.7279     |       0.9998       |        0.9367       |     1.0      |     0.7279     |       0.9998       |        0.9368       |     230      |  tensor(-115) |
| Class 15 |      1.0      |      0.9972     |        0.9997       |        0.9954        |     1.0      |     0.8321     |       0.9995       |        0.9377       |     1.0      |     0.8336     |       0.9995       |        0.9378       |     230      |      230      |
| Class 16 |      1.0      |      0.9962     |        0.9997       |        0.9954        |     1.0      |     0.8506     |       0.9995       |        0.9396       |     1.0      |     0.8522     |       0.9995       |        0.9395       |     230      |  tensor(-115) |
| Class 17 |      1.0      |      0.9958     |        0.9997       |        0.9954        |     1.0      |     0.7936     |       0.9997       |        0.9379       |     1.0      |     0.7936     |       0.9997       |        0.9379       |     230      |      230      |
| Class 18 |      1.0      |      0.9905     |        0.9997       |        0.9955        |     1.0      |     0.7823     |       0.9998       |        0.9372       |     1.0      |     0.7823     |       0.9998       |        0.9372       |     230      |  tensor(-115) |
| Class 19 |      1.0      |      0.9977     |        0.9997       |        0.9954        |     1.0      |     0.8374     |       0.9995       |        0.9385       |     1.0      |     0.8374     |       0.9995       |        0.9385       |     230      |      226      |
| Class 20 |      1.0      |      0.9968     |        0.9997       |        0.9954        |     1.0      |     0.8205     |       0.9998       |        0.9346       |     1.0      |     0.8158     |       0.9998       |        0.9355       |     230      |  tensor(-115) |
| Class 21 |      1.0      |      0.9968     |        0.9997       |        0.9954        |     1.0      |     0.8215     |       0.9995       |        0.9368       |     1.0      |     0.8215     |       0.9995       |        0.9368       |     230      |      230      |
| Class 22 |      1.0      |      0.9931     |        0.9997       |        0.9955        |     1.0      |     0.739      |       0.9997       |        0.9358       |     1.0      |     0.739      |       0.9997       |        0.9358       |     230      |  tensor(-115) |
| Class 23 |      1.0      |      0.988      |        0.9997       |        0.9955        |     1.0      |     0.6619     |       0.9996       |        0.9378       |     1.0      |     0.6654     |       0.9997       |        0.9378       |     230      |      230      |
| Class 24 |      1.0      |      0.9973     |        0.9997       |        0.9954        |     1.0      |     0.7795     |       0.9997       |        0.9325       |     1.0      |     0.7842     |       0.9995       |        0.9332       |     230      |  tensor(-115) |
| Class 25 |      1.0      |      0.9888     |        0.9997       |        0.9955        |    0.9935    |     0.7892     |       0.9996       |        0.9383       |    0.9935    |     0.7945     |       0.9996       |        0.938        |     230      |      230      |
| Class 26 |      1.0      |      0.9969     |        0.9997       |        0.9954        |     1.0      |     0.8771     |       0.9998       |        0.9356       |     1.0      |     0.878      |       0.9998       |        0.9355       |     230      |  tensor(-115) |
| Class 27 |      1.0      |      0.9958     |        0.9997       |        0.9954        |     1.0      |     0.8071     |       0.9997       |        0.9369       |     1.0      |     0.8044     |       0.9997       |        0.9367       |     230      |      229      |
| Class 28 |      1.0      |      0.9968     |        0.9997       |        0.9954        |     1.0      |     0.7535     |       0.9994       |        0.9365       |     1.0      |     0.7495     |       0.9994       |        0.9367       |     230      |  tensor(-115) |
| Class 29 |      1.0      |      0.9948     |        0.9997       |        0.9954        |     1.0      |     0.7989     |       0.9996       |        0.9365       |     1.0      |     0.802      |       0.9995       |        0.9367       |     230      |      229      |
| Class 30 |      1.0      |      0.9969     |        0.9997       |        0.9954        |     1.0      |     0.7822     |       0.9995       |        0.936        |     1.0      |     0.7822     |       0.9995       |        0.936        |     230      |  tensor(-115) |
| Class 31 |      1.0      |      0.995      |        0.9997       |        0.9954        |     1.0      |     0.8576     |       0.9995       |        0.935        |     1.0      |     0.8576     |       0.9995       |        0.935        |     230      |      229      |
| Class 32 |      1.0      |      0.9957     |        0.9997       |        0.9954        |     1.0      |     0.7369     |       0.9995       |        0.9378       |     1.0      |     0.7362     |       0.9995       |        0.9379       |     230      |  tensor(-115) |
| Class 33 |      1.0      |      0.9948     |        0.9997       |        0.9954        |     1.0      |     0.7803     |       0.9996       |        0.9367       |     1.0      |     0.7803     |       0.9996       |        0.9367       |     230      |      228      |
