Banking77

Low STD MAX

+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 0  |      1.0      |      0.9967     |        0.9997       |        0.9954        |     1.0      |     0.9638     |       0.9995       |        0.9751       |    0.9937    |     0.1677     |       0.9995       |        0.9739       |     230      |  tensor(-115) |
| Class 1  |      1.0      |      0.9766     |        0.9994       |        0.961         |     1.0      |     0.9486     |       0.9997       |        0.9755       |     1.0      |     0.6144     |       0.9995       |        0.9745       |     230      |      114      |
| Class 2  |      1.0      |      0.9735     |        0.9995       |        0.9706        |     1.0      |     0.9528     |       0.9996       |        0.9757       |     1.0      |     0.6664     |       0.9997       |        0.9739       |     230      |  tensor(-115) |
| Class 3  |      1.0      |      0.9745     |        0.9997       |         0.97         |     1.0      |     0.9712     |       0.9997       |        0.9754       |     1.0      |     0.763      |       0.9997       |        0.9755       |     230      |      118      |
| Class 4  |      1.0      |      0.9828     |        0.9997       |        0.9735        |     1.0      |     0.9461     |       0.9997       |        0.9738       |     1.0      |     0.6259     |       0.9995       |        0.9731       |     230      |  tensor(-115) |
| Class 5  |      1.0      |      0.973      |        0.9995       |        0.9687        |     1.0      |     0.9383     |       0.9996       |        0.9754       |    0.9942    |     0.634      |       0.9997       |        0.9734       |     230      |      114      |
| Class 6  |      1.0      |      0.9849     |        0.9996       |        0.9673        |     1.0      |     0.9691     |       0.9995       |        0.9749       |     1.0      |     0.7232     |       0.9994       |        0.9733       |     230      |  tensor(-115) |
| Class 7  |      1.0      |      0.9791     |        0.9994       |        0.9686        |     1.0      |     0.9666     |       0.9998       |        0.9748       |     1.0      |     0.8385     |       0.9996       |        0.9755       |     230      |      111      |
| Class 8  |      1.0      |      0.9841     |        0.9996       |        0.9732        |     1.0      |     0.9765     |       0.9997       |        0.9749       |     1.0      |     0.7568     |       0.9997       |        0.9745       |     230      |  tensor(-115) |
| Class 9  |      1.0      |      0.9779     |        0.9997       |        0.9709        |     1.0      |     0.9563     |       0.9995       |        0.975        |     1.0      |     0.6553     |       0.9998       |        0.974        |     230      |      113      |
| Class 10 |      1.0      |      0.9594     |        0.9998       |         0.97         |     1.0      |     0.9342     |       0.9995       |        0.9757       |     1.0      |     0.6819     |       0.9996       |        0.9748       |     230      |  tensor(-115) |
| Class 11 |      1.0      |      0.9764     |        0.9996       |        0.973         |     1.0      |     0.9799     |       0.9995       |        0.975        |     1.0      |     0.8728     |       0.9995       |        0.9738       |     230      |      117      |
| Class 12 |      1.0      |      0.9689     |        0.9995       |        0.9723        |     1.0      |     0.9619     |       0.9997       |        0.9762       |     1.0      |     0.6014     |       0.9995       |        0.9757       |     230      |  tensor(-115) |
| Class 13 |      1.0      |      0.978      |        0.9995       |        0.9714        |     1.0      |     0.9656     |       0.9997       |        0.9759       |     1.0      |     0.7592     |       0.9995       |        0.9753       |     230      |      118      |
| Class 14 |      1.0      |      0.9694     |        0.9995       |        0.9723        |     1.0      |     0.9457     |       0.9997       |        0.9757       |     1.0      |     0.7098     |       0.9995       |        0.9751       |     230      |  tensor(-115) |
| Class 15 |      1.0      |      0.9759     |        0.9995       |        0.972         |     1.0      |     0.971      |       0.9998       |        0.975        |     1.0      |     0.7511     |       0.9997       |        0.9751       |     230      |      118      |
| Class 16 |      1.0      |      0.9805     |        0.9997       |        0.9707        |     1.0      |     0.9692     |       0.9996       |        0.9739       |     1.0      |     0.7691     |       0.9997       |        0.9748       |     230      |  tensor(-115) |
| Class 17 |      1.0      |      0.9827     |        0.9997       |        0.9712        |     1.0      |     0.9643     |       0.9995       |        0.9757       |     1.0      |     0.6634     |       0.9997       |        0.9751       |     230      |      118      |
| Class 18 |      1.0      |      0.9632     |        0.9997       |         0.97         |     1.0      |     0.9076     |       0.9997       |        0.9761       |     1.0      |     0.6058     |       0.9997       |        0.9748       |     230      |  tensor(-115) |
| Class 19 |      1.0      |      0.9829     |        0.9997       |        0.9724        |     1.0      |     0.9793     |       0.9996       |        0.9744       |     1.0      |     0.6546     |       0.9997       |        0.9734       |     230      |      118      |
| Class 20 |      1.0      |      0.9775     |        0.9997       |        0.9676        |     1.0      |     0.9718     |       0.9996       |        0.9751       |     1.0      |     0.6582     |       0.9996       |        0.9746       |     230      |  tensor(-115) |
| Class 21 |      1.0      |      0.9821     |        0.9996       |        0.9694        |     1.0      |     0.9565     |       0.9997       |        0.9742       |     1.0      |     0.7243     |       0.9995       |        0.974        |     230      |      120      |
| Class 22 |      1.0      |      0.9593     |        0.9995       |        0.971         |     1.0      |     0.9511     |       0.9997       |        0.9749       |     1.0      |     0.6089     |       0.9996       |        0.9748       |     230      |  tensor(-115) |
| Class 23 |      1.0      |      0.878      |        0.9996       |        0.9719        |     1.0      |     0.7964     |       0.9996       |        0.9752       |     1.0      |     0.3894     |       0.9995       |        0.9743       |     230      |      110      |
| Class 24 |      1.0      |      0.9733     |        0.9995       |        0.9722        |     1.0      |     0.963      |       0.9998       |        0.9753       |     1.0      |     0.6832     |       0.9995       |        0.9735       |     230      |  tensor(-115) |
| Class 25 |      1.0      |      0.9488     |        0.9995       |        0.9701        |     1.0      |     0.9557     |       0.9995       |        0.9755       |    0.9935    |     0.6501     |       0.9997       |        0.9749       |     230      |      113      |
| Class 26 |      1.0      |      0.9858     |        0.9996       |        0.9697        |     1.0      |     0.936      |       0.9995       |        0.9753       |     1.0      |      0.63      |       0.9994       |        0.9759       |     230      |  tensor(-115) |
| Class 27 |      1.0      |      0.978      |        0.9994       |        0.9698        |     1.0      |     0.959      |       0.9996       |        0.9761       |     1.0      |     0.6888     |       0.9995       |        0.9743       |     230      |      112      |
| Class 28 |      1.0      |      0.9816     |        0.9995       |        0.9703        |     1.0      |     0.973      |       0.9996       |        0.9755       |     1.0      |     0.6689     |       0.9996       |        0.9749       |     230      |  tensor(-115) |
| Class 29 |      1.0      |      0.9679     |        0.9996       |        0.9693        |     1.0      |     0.9657     |       0.9995       |        0.9762       |     1.0      |     0.7976     |       0.9995       |        0.9756       |     230      |      110      |
| Class 30 |      1.0      |      0.9791     |        0.9995       |        0.9734        |     1.0      |     0.9615     |       0.9995       |        0.9734       |     1.0      |     0.6991     |       0.9997       |        0.9735       |     230      |  tensor(-115) |
| Class 31 |      1.0      |       0.96      |        0.9997       |        0.9703        |     1.0      |     0.9623     |       0.9995       |        0.9744       |     1.0      |     0.8069     |       0.9996       |        0.9748       |     230      |      118      |
| Class 32 |      1.0      |      0.9566     |        0.9996       |        0.973         |     1.0      |     0.9689     |       0.9995       |        0.9756       |     1.0      |     0.7414     |       0.9995       |        0.9753       |     230      |  tensor(-115) |
| Class 33 |      1.0      |      0.9766     |        0.9995       |        0.9726        |     1.0      |     0.9238     |       0.9995       |        0.9759       |     1.0      |     0.7223     |       0.9995       |        0.9742       |     230      |      111      |
| Class 34 |      1.0      |      0.9811     |        0.9995       |        0.9711        |     1.0      |     0.9725     |       0.9996       |        0.9738       |     1.0      |     0.7095     |       0.9995       |        0.9752       |     230      |  tensor(-115) |
| Class 35 |      1.0      |      0.9654     |        0.9995       |        0.9709        |     1.0      |     0.9503     |       0.9997       |        0.9757       |     1.0      |     0.7243     |       0.9997       |        0.9741       |     230      |      111      |
| Class 36 |      1.0      |      0.9618     |        0.9997       |        0.9708        |     1.0      |     0.9235     |       0.9995       |        0.9761       |     1.0      |     0.7399     |       0.9995       |        0.9759       |     230      |  tensor(-115) |
| Class 37 |      1.0      |      0.9688     |        0.9995       |        0.9729        |     1.0      |     0.9572     |       0.9997       |        0.9768       |     1.0      |     0.5615     |       0.9997       |        0.9754       |     230      |      120      |
| Class 38 |      1.0      |      0.9707     |        0.9997       |        0.9714        |     1.0      |     0.9601     |       0.9996       |        0.9752       |     1.0      |     0.7114     |       0.9995       |        0.9745       |     230      |  tensor(-115) |
| Class 39 |      1.0      |      0.9853     |        0.9995       |        0.9716        |     1.0      |     0.9687     |       0.9997       |        0.9749       |    0.9845    |     0.7392     |       0.9997       |        0.9752       |     230      |      123      |
| Class 40 |      1.0      |      0.9672     |        0.9995       |        0.9722        |    0.9796    |     0.9059     |       0.9998       |        0.976        |    0.9694    |     0.691      |       0.9997       |        0.9729       |     230      |  tensor(-115) |
| Class 41 |      1.0      |      0.9391     |        0.9994       |        0.9705        |     1.0      |     0.9572     |       0.9996       |        0.9751       |     1.0      |     0.6298     |       0.9997       |        0.9762       |     230      |      115      |
| Class 42 |      1.0      |      0.9737     |        0.9997       |        0.9733        |     1.0      |     0.9675     |       0.9995       |        0.974        |     1.0      |     0.6703     |       0.9997       |        0.9753       |     230      |  tensor(-115) |
| Class 43 |      1.0      |      0.9751     |        0.9997       |        0.9716        |     1.0      |     0.9754     |       0.9997       |        0.9752       |     1.0      |     0.8043     |       0.9998       |        0.9752       |     230      |      116      |
| Class 44 |      1.0      |      0.9827     |        0.9998       |        0.9731        |     1.0      |     0.946      |       0.9996       |        0.974        |     1.0      |     0.6115     |       0.9996       |        0.9742       |     230      |  tensor(-115) |
| Class 45 |      1.0      |      0.9707     |        0.9996       |        0.9704        |     1.0      |     0.9769     |       0.9996       |        0.9743       |     1.0      |     0.8008     |       0.9995       |        0.974        |     230      |      117      |
| Class 46 |      1.0      |      0.9728     |        0.9995       |        0.9712        |     1.0      |     0.9462     |       0.9996       |        0.9744       |    0.993     |     0.6987     |       0.9998       |        0.9734       |     230      |  tensor(-115) |
| Class 47 |      1.0      |      0.9743     |        0.9997       |        0.9695        |    0.9933    |     0.9368     |       0.9996       |        0.9749       |    0.9799    |     0.5657     |       0.9997       |        0.9748       |     230      |      118      |
| Class 48 |      1.0      |      0.9769     |        0.9994       |        0.9687        |     1.0      |     0.9602     |       0.9998       |        0.9752       |     1.0      |     0.6657     |       0.9997       |        0.9755       |     230      |  tensor(-115) |
| Class 49 |      1.0      |      0.9757     |        0.9997       |        0.9708        |     1.0      |     0.9444     |       0.9995       |        0.9737       |     1.0      |     0.5563     |       0.9995       |        0.9729       |     230      |      110      |
| Class 50 |      1.0      |      0.973      |        0.9995       |        0.9681        |     1.0      |     0.9575     |       0.9996       |        0.9763       |     1.0      |     0.7044     |       0.9995       |        0.9739       |     230      |  tensor(-115) |
| Class 51 |      1.0      |      0.9744     |        0.9995       |        0.9713        |     1.0      |     0.9754     |       0.9994       |        0.9748       |     1.0      |     0.7698     |       0.9997       |        0.9747       |     230      |      108      |
| Class 52 |      1.0      |      0.9807     |        0.9997       |        0.9712        |     1.0      |     0.9874     |       0.9996       |        0.9756       |     1.0      |     0.8511     |       0.9995       |        0.9736       |     230      |  tensor(-115) |
| Class 53 |      1.0      |      0.9824     |        0.9995       |        0.9713        |     1.0      |     0.9678     |       0.9998       |        0.9741       |    0.9938    |     0.6924     |       0.9997       |        0.975        |     230      |      122      |
| Class 54 |      1.0      |      0.9821     |        0.9996       |        0.9703        |     1.0      |     0.9616     |       0.9995       |        0.9761       |    0.9922    |     0.6028     |       0.9997       |        0.9746       |     230      |  tensor(-115) |
| Class 55 |      1.0      |      0.9737     |        0.9996       |        0.9698        |     1.0      |     0.9545     |       0.9996       |        0.9751       |     1.0      |     0.7273     |       0.9995       |        0.9739       |     230      |      116      |
| Class 56 |      1.0      |      0.9772     |        0.9995       |        0.9711        |     1.0      |     0.9445     |       0.9995       |        0.9755       |     1.0      |     0.6465     |       0.9998       |        0.9753       |     230      |  tensor(-115) |
| Class 57 |      1.0      |      0.9712     |        0.9998       |        0.9717        |     1.0      |     0.9323     |       0.9995       |        0.975        |     1.0      |     0.6433     |       0.9994       |        0.9747       |     230      |      126      |
| Class 58 |      1.0      |      0.9687     |        0.9994       |        0.9709        |     1.0      |     0.9705     |       0.9996       |        0.9743       |     1.0      |     0.662      |       0.9996       |        0.9741       |     230      |  tensor(-115) |
| Class 59 |     0.9931    |      0.9694     |        0.9997       |        0.9706        |    0.9931    |     0.9535     |       0.9998       |        0.9743       |    0.9931    |     0.7702     |       0.9998       |        0.975        |     230      |      121      |
| Class 60 |      1.0      |      0.9541     |        0.9997       |        0.9722        |     1.0      |     0.9624     |       0.9995       |        0.975        |     1.0      |     0.6839     |       0.9997       |        0.9756       |     230      |  tensor(-115) |
| Class 61 |      1.0      |      0.9776     |        0.9997       |        0.9727        |     1.0      |     0.9238     |       0.9998       |        0.9746       |     1.0      |     0.4647     |       0.9997       |        0.9751       |     230      |      112      |
| Class 62 |      1.0      |      0.9704     |        0.9997       |        0.9676        |     1.0      |     0.9614     |       0.9994       |        0.9765       |     1.0      |     0.6698     |       0.9996       |        0.9751       |     230      |  tensor(-115) |
| Class 63 |      1.0      |      0.9792     |        0.9996       |        0.9718        |     1.0      |     0.9719     |       0.9998       |        0.9756       |     1.0      |     0.7724     |       0.9997       |        0.9739       |     230      |      127      |
| Class 64 |      1.0      |      0.9847     |        0.9997       |        0.9701        |     1.0      |     0.9646     |       0.9995       |        0.975        |     1.0      |     0.5879     |       0.9997       |        0.9746       |     230      |  tensor(-115) |
| Class 65 |      1.0      |      0.9552     |        0.9997       |        0.9681        |     1.0      |     0.9682     |       0.9996       |        0.9743       |     1.0      |     0.7461     |       0.9995       |        0.9745       |     230      |      119      |
| Class 66 |     0.9942    |      0.9778     |        0.9996       |        0.9718        |    0.9942    |     0.959      |       0.9996       |        0.9752       |    0.9942    |     0.7049     |       0.9998       |        0.9751       |     230      |  tensor(-115) |
| Class 67 |      1.0      |      0.9804     |        0.9997       |        0.9704        |     1.0      |     0.962      |       0.9997       |        0.9759       |     1.0      |     0.5789     |       0.9997       |        0.9748       |     230      |      116      |
| Class 68 |      1.0      |      0.9625     |        0.9997       |        0.9698        |     1.0      |     0.9245     |       0.9996       |        0.9751       |     1.0      |     0.683      |       0.9998       |        0.9753       |     230      |  tensor(-115) |
